,id,attend_P3,ignore_P3
0,9,-0.9887559127249104,0.7477060313739147
1,11,2.9890154185652427,0.12412489079654923
2,12,3.0041735810403694,-0.37753866361959604
3,13,3.0587312346896276,-0.1954479951012897
4,14,0.5573780665439554,-0.6353425425992418
5,15,0.5802938747321719,0.6614309455190904
6,26,2.1990273721473232,1.7512305454132222
7,27,2.878500896787084,1.2204805466583348
8,28,1.53272818504365,-0.9058809446016755
9,29,6.308610672474639,2.348442051983638
10,30,8.83188790542015,3.807628514047413
11,31,-0.15337627691213163,-0.6988849781629735
12,32,2.5896041494660005,1.0971301782283172
13,33,5.495457194660428,0.1195610974663423
14,34,3.245513337962423,2.045453143702906
